name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y
man,0,0,,"walking,cross,right side",,,25-Jul-2019 09:52:53,10,A35Q0ZG3C7ZFP,2242,2246,2208,2197,2170,2291,2137,2295,2163,2178,2152,2106,2129,2050,2118,1990,2110,1952,2155,1949,2182,1964,2201,2039,2238,2095,2197,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lady,0,0,,"walk,yellow,right side",,,25-Jul-2019 09:53:59,11,A35Q0ZG3C7ZFP,2046,2272,2016,2152,2016,2095,2016,1941,2050,1926,2088,1945,2088,2001,2110,2073,2110,2110,2110,2152,2133,2204,2125,2242,2106,2253,2073,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
men,0,0,,"standing,left side,near door",,,25-Jul-2019 09:55:46,12,A35Q0ZG3C7ZFP,707,2434,734,2366,745,2392,782,2389,767,2310,767,2249,764,2216,749,2189,734,2155,722,2122,685,2122,673,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"white,restaurant,dining table",,,25-Jul-2019 09:58:29,13,A35Q0ZG3C7ZFP,2058,2753,2114,2697,2103,2648,2039,2614,2009,2614,2001,2513,2133,2460,2122,2404,2065,2389,1997,2407,1945,2400,1843,2415,1798,2419,1764,2441,1821,2475,1918,2479,1975,2479,1982,2550,1960,2622,1945,2667,1967,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"left sife,brown,table chair",,,25-Jul-2019 09:59:45,14,A35Q0ZG3C7ZFP,1087,2501,1087,2400,1155,2404,1189,2483,1162,2313,1065,2306,1038,2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,0,0,,"house,blue,rectangle,door",,,25-Jul-2019 10:03:13,15,WorkerIDAXPUKBI6UNZY,137,3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,0,0,,"male,30,whiteshirt,at work",,,25-Jul-2019 10:07:24,16,WorkerIDAXPUKBI6UNZY,1226,2132,1141,2067,1173,2021,1200,1969,1252,1975,1271,2027,1278,2067,1304,2099,1291,2197,1245,2217,1245,2269,1258,2301,1239,2366,1200,2360,1180,2314,1180,2236,1180,2171,1128,2164,1134,2125,1154,2119,1160,2106,1154,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,"house,yellow,rectangle,",,,25-Jul-2019 10:09:28,17,WorkerIDAXPUKBI6UNZY,196,2790,163,2666,163,2666,196,2542,176,2490,183,2412,183,2321,176,2282,169,2145,169,2086,169,1956,169,1825,163,1760,163,1682,163,1604,163,1486,156,1428,156,1402,156,1402,156,1408,150,1389,130,1362,98,1343,98,1343,33,1304,33,1304,7,1304,13,2908,13,2908,52,2868,91,2836,98,2823,117,2797,130,2784,143,2771,150,2758,156,2745,176,2712,196,2725,,
window,0,0,,"house,squre,yellow",,,25-Jul-2019 10:14:30,18,WorkerIDAXPUKBI6UNZY,1082,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"door,green,rectangle,",,,25-Jul-2019 10:16:30,19,WorkerIDAXPUKBI6UNZY,476,339,587,346,600,332,632,332,632,332,665,319,685,280,685,267,678,202,678,202,678,163,678,137,678,117,678,85,678,33,456,0,411,7,411,7,411,7,404,46,411,143,411,150,443,248,443,248,443,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
women,0,0,,"female,40,saree,",,,25-Jul-2019 10:18:46,20,WorkerIDAXPUKBI6UNZY,1864,1864,1864,1975,1864,1975,1871,2060,1878,2119,1904,2132,1943,2151,1988,2158,1988,2158,1995,2119,1995,2054,1995,2001,1969,1956,1962,1930,1936,1884,1917,1858,1904,1904,1917,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"black,4x4,door",,,25-Jul-2019 10:20:01,21,WorkerIDAXPUKBI6UNZY,65,143,20,52,26,46,72,7,72,7,215,0,215,0,215,0,215,0,222,85,222,111,235,183,235,228,235,267,215,280,150,293,85,293,52,280,52,280,46,254,46,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"sky, yellow, bright, high",,,25-Jul-2019 10:28:38,22,A3TAM79PCXOLXI,2048,83,1996,134,2100,228,2136,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,"tall, right hand side, green, large",,,25-Jul-2019 10:30:32,23,A3TAM79PCXOLXI,2865,212,2767,357,2720,347,2560,595,2364,729,2400,843,2348,864,2364,926,2203,1024,2291,1055,2162,1117,2234,1122,2167,1169,2317,1200,2229,1241,2338,1215,2307,1257,2457,1257,2457,1314,2431,1376,2586,1345,2638,1427,2684,1345,2726,1422,2834,1360,2850,1427,2824,2193,2793,2307,2860,2379,,,,,,,,,,,,,,,,,,,,,,
building,0,0,,"background, dark, far away, distant",,,25-Jul-2019 10:31:15,24,A3TAM79PCXOLXI,1624,1324,1774,1319,1862,2033,1655,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"distant, yellow, panes, small",,,25-Jul-2019 10:31:57,25,A3TAM79PCXOLXI,1143,1883,1355,1883,1329,2064,1148,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
store front,0,0,,"shop window, distant, dark",,,25-Jul-2019 10:32:47,26,A3TAM79PCXOLXI,2265,1640,2462,1665,2457,2007,2270,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,"right side, black bottom, yellow window, rectangle",,,25-Jul-2019 10:45:27,27,adam.kerr27@yahoo.com,2612,2124,2612,1717,2720,1722,2757,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awning,0,0,,"above patio seating, yellow, left side middle",,,25-Jul-2019 10:46:38,28,adam.kerr27@yahoo.com,506,538,705,664,746,768,1586,1202,1500,1808,953,1613,520,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small building,0,0,,"left side, small building in comparison, mainly green sides with darker bottom",,,25-Jul-2019 10:49:14,29,adam.kerr27@yahoo.com,2824,1577,2436,1555,2436,1636,2287,1622,2278,2110,2458,2169,2820,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"left patio, white top, round in shape",,,25-Jul-2019 10:50:28,30,adam.kerr27@yahoo.com,850,2531,841,2458,904,2454,944,2544,922,2436,940,2413,827,2386,764,2427,886,2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"left patio, white top, round",,,25-Jul-2019 10:51:15,31,adam.kerr27@yahoo.com,1012,2259,908,2287,958,2323,976,2372,958,2323,1035,2323,1030,2377,1030,2314,1071,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"right patio, round top, white top, black legs",,,25-Jul-2019 10:51:57,32,adam.kerr27@yahoo.com,1342,2296,1283,2345,1356,2350,1387,2485,1360,2354,1419,2350,1442,2463,1442,2363,1518,2327,1423,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"orange, middle, normal-sized",,,25-Jul-2019 11:19:34,33,A2MOY7J4GG5CW8,1631,2423,1628,2479,1643,2494,1648,2440,1675,2445,1672,2523,1687,2537,1699,2525,1694,2455,1721,2442,1753,2494,1765,2489,1733,2420,1677,2401,1684,2338,1626,2318,1575,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"green, normal-size, four-legs",,,25-Jul-2019 11:21:58,34,A2MOY7J4GG5CW8,1238,2498,1263,2511,1277,2420,1297,2418,1282,2472,1306,2484,1316,2474,1319,2423,1326,2423,1341,2491,1363,2481,1350,2379,1275,2369,1221,2286,1214,2296,1260,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"green, left, four-legs",,,25-Jul-2019 11:24:03,35,A2MOY7J4GG5CW8,704,2547,678,2452,741,2420,809,2445,804,2540,841,2654,824,2674,795,2579,756,2572,746,2671,721,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"green, dark, four-legs, center",,,25-Jul-2019 11:24:49,36,A2MOY7J4GG5CW8,1453,2435,1443,2523,1475,2530,1480,2423,1521,2416,1545,2469,1570,2469,1543,2406,1572,2286,1519,2262,1477,2274,1472,2359,1387,2377,1375,2474,1384,2486,1409,2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person,0,0,,"sitting, red clothes, green clothes, hat",,,25-Jul-2019 11:26:47,37,A2MOY7J4GG5CW8,1371,2259,1407,2184,1410,2156,1430,2133,1441,2133,1460,2130,1477,2164,1480,2189,1508,2248,1463,2299,1393,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blind,0,0,,"wood, open, window",,,25-Jul-2019 12:04:33,38,AIN29LNXRARXY,631,456,780,396,792,792,703,660,639,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blind,0,0,,"wood, open, window",,,25-Jul-2019 12:04:51,39,AIN29LNXRARXY,797,405,856,379,878,814,797,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blind,0,0,,"wood, open, window",,,25-Jul-2019 12:05:07,40,AIN29LNXRARXY,873,516,954,511,954,831,878,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blind,0,0,,"wood, open, window",,,25-Jul-2019 12:05:23,41,AIN29LNXRARXY,1040,908,1027,622,954,639,954,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,"outdoor, wood, cafè",,,25-Jul-2019 12:06:50,42,AIN29LNXRARXY,1038,2222,1065,2247,1094,2297,1120,2302,1097,2252,1153,2249,1144,2297,1160,2302,1169,2238,1136,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,yellow,,,25-Jul-2019 12:31:05,43,A2NVNFIOKLEEGY,697,571,2642,1184,85,2226,2212,2797,641,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,0,0,,street,,,25-Jul-2019 12:31:42,44,A2NVNFIOKLEEGY,70,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,green,,,25-Jul-2019 12:32:43,45,A2NVNFIOKLEEGY,2466,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,brown,,,25-Jul-2019 12:33:14,46,A2NVNFIOKLEEGY,2677,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
road,0,0,,black,,,25-Jul-2019 12:33:33,47,A2NVNFIOKLEEGY,2205,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabel,0,0,,yellow,,,25-Jul-2019 12:33:57,48,A2NVNFIOKLEEGY,1310,2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,long and green,,,25-Jul-2019 12:53:46,49,A267H808C339ZQ,2620,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,0,0,,rectangle,,,25-Jul-2019 12:54:31,50,A267H808C339ZQ,1051,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall,0,0,,located in house,,,25-Jul-2019 12:54:47,51,A267H808C339ZQ,1136,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,placed in wall,,,25-Jul-2019 12:55:20,52,A267H808C339ZQ,2373,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,entrance in house,,,25-Jul-2019 12:56:00,53,A267H808C339ZQ,193,1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,polygon,,,25-Jul-2019 13:10:04,54,lpriyamvada@gmail.com,420,496,2638,1183,1013,1849,636,1548,683,594,123,2231,1009,1857,2184,2765,178,2264,305,3214,161,3130,449,3070,437,2158,110,2239,161,3113,653,1565,2192,2811,331,3214,2650,1204,2218,2744,1022,903,683,1009,670,1569,1505,1628,2074,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,2windows,,,25-Jul-2019 13:10:54,55,lpriyamvada@gmail.com,539,157,140,157,170,543,645,577,568,237,556,195,505,823,182,823,174,577,2116,157,2082,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,closeddoor,,,25-Jul-2019 13:11:19,56,lpriyamvada@gmail.com,153,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ground,0,0,,ground,,,25-Jul-2019 13:11:54,57,lpriyamvada@gmail.com,1896,3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk,0,0,,chest,,,25-Jul-2019 13:12:18,58,lpriyamvada@gmail.com,2493,2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street,0,0,,"cobblestone street, bumpy, not smooth, rough walk, ground",,,25-Jul-2019 13:25:48,59,A2OMYDY8G8PNJE,1550,3556,1378,3046,1419,2992,1880,2915,2513,3041,2833,3127,2870,3552,2851,3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"stars, bright, night sky, shining, high above",,,25-Jul-2019 13:26:39,60,A2OMYDY8G8PNJE,1062,95,1139,36,1076,5,1008,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"window, light, over the city, light on",,,25-Jul-2019 13:27:58,61,A2OMYDY8G8PNJE,2255,818,2273,931,2241,940,2223,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,0,0,,"building, dark, looming, shadow, high above",,,25-Jul-2019 13:28:50,62,A2OMYDY8G8PNJE,1853,1170,1830,1048,1812,1035,1799,999,1790,990,1776,1044,1758,1089,1767,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,0,0,,"group of people, person, seated, not detailed, abstract",,,25-Jul-2019 13:31:36,63,A2OMYDY8G8PNJE,953,2246,931,2201,949,2151,926,2151,908,2178,881,2214,877,2255,841,2237,831,2273,822,2300,818,2318,813,2354,877,2381,935,2377,895,2305,886,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,sr right side mid tree has green colur leaves and brown stream,,,25-Jul-2019 14:04:39,64,A3O9QZA6B3CY7U,2639,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
road,0,0,,walk way in between two buildings and have the people,,,25-Jul-2019 14:07:52,65,A3O9QZA6B3CY7U,2851,3105,2517,2874,2318,2693,2160,2467,1902,2278,1627,2137,1618,2038,2011,1857,2259,1948,2598,2287,2770,2422,2856,2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character,0,0,,man walk for the left side,,,25-Jul-2019 14:08:55,66,A3O9QZA6B3CY7U,2210,2350,2119,2174,2110,2002,2092,1921,2119,1921,2192,1948,2282,2065,2296,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lady,0,0,,follow to the man,,,25-Jul-2019 14:09:18,67,A3O9QZA6B3CY7U,2115,2327,1997,2205,1993,1997,1993,1839,2052,1839,2101,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,0,0,,man walk to the right side,,,25-Jul-2019 14:09:59,68,A3O9QZA6B3CY7U,1744,2137,1744,2259,1762,2318,1826,2381,1966,2318,1921,2174,1853,2024,1758,2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"round, yellow, blue-ringed",,,25-Jul-2019 14:48:03,69,A13JDB1LY9ZTQY,1776,696,1842,664,1874,742,1809,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window pane,0,0,,"yellow, shaded, glass",,,25-Jul-2019 14:48:47,70,A13JDB1LY9ZTQY,26,1750,104,1783,111,2193,33,2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,0,0,,"distant, building, dark, blue, home",,,25-Jul-2019 14:51:22,71,A3EQKTEL74N09A,997,307,1460,542,1456,1103,1054,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street,0,0,,"cobblestone, round, grey, bumpy, old",,,25-Jul-2019 14:52:27,72,A3EQKTEL74N09A,1316,3568,622,3564,948,2889,1316,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chair,0,0,,"tan, old, off",,,25-Jul-2019 14:53:40,73,A3EQKTEL74N09A,1554,2210,1714,2233,1725,2370,1604,2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
